vin	V(in)	V(out)
1.029999999999999e-002	1.030000e-002	1.800000e+000
1.039999999999999e-002	1.040000e-002	1.800000e+000
1.049999999999999e-002	1.050000e-002	1.800000e+000
1.059999999999999e-002	1.060000e-002	1.800000e+000
1.069999999999999e-002	1.070000e-002	1.800000e+000
1.079999999999999e-002	1.080000e-002	1.800000e+000
1.089999999999999e-002	1.090000e-002	1.800000e+000
1.099999999999999e-002	1.100000e-002	1.800000e+000
1.109999999999999e-002	1.110000e-002	1.800000e+000
1.119999999999999e-002	1.120000e-002	1.800000e+000
1.129999999999999e-002	1.130000e-002	1.800000e+000
1.139999999999999e-002	1.140000e-002	1.800000e+000
1.149999999999999e-002	1.150000e-002	1.800000e+000
1.159999999999999e-002	1.160000e-002	1.800000e+000
1.169999999999999e-002	1.170000e-002	1.800000e+000
1.179999999999998e-002	1.180000e-002	1.800000e+000
1.189999999999998e-002	1.190000e-002	1.800000e+000
1.199999999999998e-002	1.200000e-002	1.800000e+000
1.209999999999998e-002	1.210000e-002	1.800000e+000
1.219999999999998e-002	1.220000e-002	1.800000e+000
1.229999999999998e-002	1.230000e-002	1.800000e+000
1.239999999999998e-002	1.240000e-002	1.800000e+000
1.249999999999998e-002	1.250000e-002	1.800000e+000
1.259999999999998e-002	1.260000e-002	1.800000e+000
1.269999999999998e-002	1.270000e-002	1.800000e+000
1.279999999999998e-002	1.280000e-002	1.800000e+000
1.289999999999998e-002	1.290000e-002	1.800000e+000
1.299999999999998e-002	1.300000e-002	1.800000e+000
1.309999999999998e-002	1.310000e-002	1.800000e+000
1.319999999999998e-002	1.320000e-002	1.800000e+000
1.329999999999998e-002	1.330000e-002	1.800000e+000
1.339999999999997e-002	1.340000e-002	1.800000e+000
1.349999999999997e-002	1.350000e-002	1.800000e+000
1.359999999999997e-002	1.360000e-002	1.800000e+000
1.369999999999997e-002	1.370000e-002	1.800000e+000
1.379999999999997e-002	1.380000e-002	1.800000e+000
1.389999999999997e-002	1.390000e-002	1.800000e+000
1.399999999999997e-002	1.400000e-002	1.800000e+000
